issuer,sector,short_name,isin,currency,volume_circulation,min_lot,status,issue_date,maturity_date,price,accumulated_coupon,denomination,сoupon,сoupon_once_year,сoupon_type,instrument_type,amort,subord,guarant,high_yield,available_iis,hold_benefit
"АО ""ГТЛК""",корпоративные,ГТЛК 1P-10 / ГТЛК оббП10,RU000A0ZZ984,RUB,10.00 RUB,1000,В обращении,08.06.2018,20.05.2033,93.19 / 93.04 / 93.18,6.2,1000,33.21 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО ""ФЭС-Агро""",корпоративные,ФЭСАгро1Р1 / ФЭС-Агро оббП01,RU000A106P63,RUB,1.00 RUB,1000,В обращении,10.08.2023,06.08.2026,74.52 / 74.29 / 74.51,14.96,1000,34.90 RUB,4,фиксированный,Облигация,да,нет,нет,нет,да,да
"ООО ""А Спэйс""",корпоративные,АСпэйс 1Р1 / А Спэйс оббП01,RU000A1089A3,RUB,0.20 RUB,1000,В обращении,11.04.2024,23.09.2027,75.25 / 75.2 / 75.25,5.18,1000,17.26 RUB,12,изменяемый,Облигация,да,нет,нет,нет,да,да
"ПАО ""Россети Московский регион"", ПАО ""Россети МР""",корпоративные,РСетиМР1P6 / Россети МосРег оббП06,RU000A108P61,RUB,20.00 RUB,1000,В обращении,14.06.2024,31.05.2027,97.3 / 97.28 / 97.3,3.03,1000,18.21 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО АФК ""Система""",корпоративные,Систем1P24 / АФК Система оббП24,RU000A105L27,RUB,10.00 RUB,1000,В обращении,07.12.2022,24.11.2032,79.01 / 79.17 / 80.29,3.29,1000,24.93 RUB,4,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Совкомфлот""",корпоративные,СКФ 1Р1CNY / Совкомфлот оббП01,RU000A1060Q0,CNY,2.60 CNY,1000,В обращении,28.03.2023,24.03.2026,91.506 / 91.5045 / 91.9998,157.18,1000,24.68 CNY,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
"ООО КОМПАНИЯ ""СИМПЛ""",корпоративные,СИМПЛ1Р01 / КОМПАНИЯ СИМПЛ оббП01,RU000A10A398,RUB,1.00 RUB,1000,В обращении,15.11.2024,05.11.2026,100.33 / 100.14 / 100.32,0.7,1000,20.96 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ПАО ""Россети Московский регион"", ПАО ""Россети МР""",корпоративные,РСетиМР1Р5 / Россети МосРег оббП05,RU000A107DP1,RUB,8.00 RUB,1000,В обращении,14.12.2023,30.11.2026,98.6 / 98.55 / 98.78,4.85,1000,18.21 RUB,12,плавающий,Облигация,NAN,нет,нет,нет,да,да
"ООО ""Элит Строй""",корпоративные,Страна 02 / Элит Строй обП01,RU000A105YF2,RUB,1.00 RUB,1000,В обращении,16.03.2023,02.03.2026,80.23 / 79.99 / 80.19,4.37,1000,11.92 RUB,12,фиксированный,Облигация,NAN,нет,нет,нет,да,да
Республика Казахстан,государственные,Казахст11 / Республика Казахстан об11,RU000A101RZ3,RUB,10.00 RUB,1000,В обращении,23.09.2020,11.09.2030,54.02 / 54.03 / 54.33,17.07,1000,34.90 RUB,2,фиксированный,Облигация,NAN,нет,нет,нет,да,да
